#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3
-10.996531	-11.578078	-10.995625	-11.753359	 -1.553031	 -1.758777	 -1.368780	 -0.737503
-10.986531	-10.407356	-10.985625	 -7.948072	 -1.543031	 -1.167880	 -1.358780	 -0.963372
-10.976531	-12.365258	-10.975625	-12.483078	 -1.533031	 -3.640301	 -1.348780	 -1.703786
-10.966531	 -7.727545	-10.965625	 -7.761055	 -1.523031	 +0.712427	 -1.338780	 -0.141645
-10.956531	 -9.397845	-10.955625	 -9.415933	 -1.513031	 -2.400674	 -1.328780	 -0.192422
-10.946531	 -9.912938	-10.945625	 -9.959323	 -1.503031	 -0.106348	 -1.318780	 -0.282718
-10.936531	-10.126673	-10.935625	-10.144596	 -1.493031	 +0.051038	 -1.308780	 -0.684802
-10.926531	-10.093436	-10.925625	-10.110444	 -1.483031	 -0.355719	 -1.298780	 -0.949873
-10.916531	-10.277617	-10.915625	-10.285948	 -1.473031	 -0.498949	 -1.288780	 -0.254909
-10.906531	-10.498876	-10.905625	-10.449999	 -1.463031	 -0.775776	 -1.278780	 -0.601204
-10.896531	-10.595705	-10.895625	-10.599342	 -1.453031	 -0.664014	 -1.268780	 -0.794016
-10.886531	-11.296041	-10.885625	-11.311512	 -1.443031	 -1.238471	 -1.258780	 -1.028975
-10.876531	 -8.534036	-10.875625	 -8.549969	 -1.433031	 +0.235547	 -1.248780	 -0.160051
-10.866531	 -9.837882	-10.865625	 -9.841113	 -1.423031	 -0.552616	 -1.238780	 -0.689200
-10.856531	-10.091660	-10.855625	-10.092925	 -1.413031	 -1.156411	 -1.228780	 -0.051271
-10.846531	-10.222994	-10.845625	-10.223485	 -1.403031	 -0.428530	 -1.218780	 -0.556490
-10.836531	-10.347022	-10.835625	-10.345950	 -1.393031	 -0.729192	 -1.208780	 -0.672961
-10.826531	-10.353124	-10.825625	-10.353549	 -1.383031	 -0.888883	 -1.198780	 -1.361039
-10.816531	-10.272314	-10.815625	-10.272344	 -1.373031	 -0.788558	 -1.188780	 -0.334135
-10.806531	-10.346650	-10.805625	-10.347091	 -1.363031	 -1.728888	 -1.178780	 +0.595811
-10.796531	-10.409089	-10.795625	-10.409379	 -1.353031	 -0.418468	 -1.168780	 -0.282425
-10.786531	-10.474984	-10.785625	-10.475230	 -1.343031	 -0.317905	 -1.158780	 -0.523644
-10.776531	-10.626142	-10.775625	-10.626568	 -1.333031	 -0.467863	 -1.148780	 -0.540896
-10.766531	-10.092410	-10.765625	-10.093703	 -1.323031	 -0.307354	 -1.138780	 -0.489775
-10.756531	-10.374730	-10.755625	-10.374897	 -1.313031	 -0.556614	 -1.128780	 -0.454185
-10.746531	-10.468899	-10.745625	-10.469260	 -1.303031	 -0.652914	 -1.118780	 -0.691419
-10.736531	-10.304615	-10.735625	-10.304919	 -1.293031	 -0.596857	 -1.108780	 -0.197320
-10.726531	-10.465150	-10.725625	-10.466686	 -1.283031	 -0.683918	 -1.098780	 -0.426050
-10.716531	-10.515722	-10.715625	-10.520106	 -1.273031	 -0.735752	 -1.088780	 -0.486452
-10.706531	-10.620231	-10.705625	-10.436804	 -1.263031	 -0.878492	 -1.078780	 -0.514298
-10.696531	-10.543177	-10.695625	-10.552605	 -1.253031	 -0.418228	 -1.068780	 -0.539099
-10.686531	-10.576274	-10.685625	-10.580154	 -1.243031	 -0.700609	 -1.058780	 -0.560833
-10.676531	-10.616687	-10.675625	-10.621133	 -1.233031	 -0.756269	 -1.048780	 -0.579830
-10.666531	-10.663484	-10.665625	-10.670371	 -1.223031	 -0.676174	 -1.038780	 -0.599603
-10.656531	-10.728587	-10.655625	-10.740954	 -1.213031	 -0.737184	 -1.028780	 -0.630998
-10.646531	-10.839167	-10.645625	-10.866416	 -1.203031	 -0.768341	 -1.018780	 -0.673963
-10.636531	-11.104449	-10.635625	-11.198997	 -1.193031	 -0.798414	 -1.008780	 -0.575437
-10.626531	-12.969463	-10.625625	-14.194087	 -1.183031	 -0.867207	 -0.998780	 -0.604211
-10.616531	 -9.547959	-10.615625	 -9.738356	 -1.173031	 -0.760356	 -0.988780	 -0.619214
-10.606531	-10.122793	-10.605625	-10.161773	 -1.163031	 -0.814181	 -0.978780	 -0.631500
-10.596531	-10.286298	-10.595625	-10.301926	 -1.153031	 -0.852728	 -0.968780	 -0.639165
-10.586531	-10.366506	-10.585625	-10.374482	 -1.143031	 -0.946940	 -0.958780	 -0.648624
-10.576531	-10.415984	-10.575625	-10.420535	 -1.133031	 -0.650318	 -0.948780	 -0.658112
-10.566531	-10.450873	-10.565625	-10.453611	 -1.123031	 -0.783674	 -0.938780	 -0.671655
-10.556531	-10.478091	-10.555625	-10.479812	 -1.113031	 -0.828727	 -0.928780	 -0.674609
-10.546531	-10.502404	-10.545625	-10.503898	 -1.103031	 -0.863603	 -0.918780	 -0.699018
-10.536531	-10.545524	-10.535625	-10.560791	 -1.093031	 -0.883036	 -0.908780	 -0.684449
-10.526531	-10.509337	-10.525625	-10.512920	 -1.083031	 -0.798782	 -0.898780	 -0.677171
-10.516531	-10.531258	-10.515625	-10.532066	 -1.073031	 -0.878294	 -0.888780	 -0.694023
-10.506531	-10.545060	-10.505625	-10.545237	 -1.063031	 -0.896240	 -0.878780	 -0.708935
-10.496531	-10.556446	-10.495625	-10.556309	 -1.053031	 -0.966056	 -0.868780	 -0.727140
