#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3#	omega_4	E_QP(omega)_4#	omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6#	omega_7	E_QP(omega)_7#	omega_8	E_QP(omega)_8
-20.061806	-18.984925	 -1.900339	 -2.440037	 -1.405824	 -0.524428	 -1.264273	 -0.361248	 -1.187197	 -0.278585	 -0.828415	 +0.133347	 -0.753150	 +0.208498	 -0.486860	 +0.512414	 -0.434995	 +0.558523
-20.051806	-19.007577	 -1.890339	 -2.972334	 -1.395824	 -0.529210	 -1.254273	 -0.365416	 -1.177197	 -0.282678	 -0.818415	 +0.133111	 -0.743150	 +0.208239	 -0.476860	 +0.512170	 -0.424995	 +0.558318
-20.041806	-19.029548	 -1.880339	 -3.970972	 -1.385824	 -0.533734	 -1.244273	 -0.369461	 -1.167197	 -0.286658	 -0.808415	 +0.132878	 -0.733150	 +0.207983	 -0.466860	 +0.511927	 -0.414995	 +0.558113
-20.031806	-19.050870	 -1.870339	 -6.973796	 -1.375824	 -0.538032	 -1.234273	 -0.373390	 -1.157197	 -0.290529	 -0.798415	 +0.132647	 -0.723150	 +0.207729	 -0.456860	 +0.511685	 -0.404995	 +0.557909
-20.021806	-19.071572	 -1.860339	 +9.045585	 -1.365824	 -0.542129	 -1.224273	 -0.377208	 -1.147197	 -0.294297	 -0.788415	 +0.132418	 -0.713150	 +0.207477	 -0.446860	 +0.511444	 -0.394995	 +0.557707
-20.011806	-19.091682	 -1.850339	 -5.580832	 -1.355824	 -0.546045	 -1.214273	 -0.380920	 -1.137197	 -0.297966	 -0.778415	 +0.132191	 -0.703150	 +0.207228	 -0.436860	 +0.511204	 -0.384995	 +0.557504
-20.001806	-19.111226	 -1.840339	 +6.780071	 -1.345824	 -0.549799	 -1.204273	 -0.384531	 -1.127197	 -0.301540	 -0.768415	 +0.131967	 -0.693150	 +0.206980	 -0.426860	 +0.510966	 -0.374995	 +0.557303
-19.991806	-19.130229	 -1.830339	 +2.360872	 -1.335824	 -0.553404	 -1.194273	 -0.388046	 -1.117197	 -0.305023	 -0.758415	 +0.131744	 -0.683150	 +0.206735	 -0.416860	 +0.510728	 -0.364995	 +0.557102
-19.981806	-19.148714	 -1.820339	 +1.204373	 -1.325824	 -0.556874	 -1.184273	 -0.391468	 -1.107197	 -0.308418	 -0.748415	 +0.131524	 -0.673150	 +0.206492	 -0.406860	 +0.510491	 -0.354995	 +0.556902
-19.971806	-19.166703	 -1.810339	 +0.646403	 -1.315824	 -0.560219	 -1.174273	 -0.394802	 -1.097197	 -0.311730	 -0.738415	 +0.131305	 -0.663150	 +0.206250	 -0.396860	 +0.510255	 -0.344995	 +0.556702
-19.961806	-19.184215	 -1.800339	 +0.310760	 -1.305824	 -0.563449	 -1.164273	 -0.398052	 -1.087197	 -0.314962	 -0.728415	 +0.131088	 -0.653150	 +0.206011	 -0.386860	 +0.510020	 -0.334995	 +0.556503
-19.951806	-19.201272	 -1.790339	 +0.084106	 -1.295824	 -0.566571	 -1.154273	 -0.401221	 -1.077197	 -0.318116	 -0.718415	 +0.130873	 -0.643150	 +0.205773	 -0.376860	 +0.509786	 -0.324995	 +0.556304
-19.941806	-19.217890	 -1.780339	 -0.080585	 -1.285824	 -0.569594	 -1.144273	 -0.404310	 -1.067197	 -0.321196	 -0.708415	 +0.130659	 -0.633150	 +0.205537	 -0.366860	 +0.509553	 -0.314995	 +0.556106
-19.931806	-19.234088	 -1.770339	 -0.207659	 -1.275824	 -0.572523	 -1.134273	 -0.407327	 -1.057197	 -0.324205	 -0.698415	 +0.130447	 -0.623150	 +0.205303	 -0.356860	 +0.509321	 -0.304995	 +0.555908
-19.921806	-19.249880	 -1.760339	 -0.301418	 -1.265824	 -0.575365	 -1.124273	 -0.410272	 -1.047197	 -0.327145	 -0.688415	 +0.130237	 -0.613150	 +0.205070	 -0.346860	 +0.509089	 -0.294995	 +0.555711
-19.911806	-19.265284	 -1.750339	 -0.383836	 -1.255824	 -0.578124	 -1.114273	 -0.413149	 -1.037197	 -0.330018	 -0.678415	 +0.130028	 -0.603150	 +0.204839	 -0.336860	 +0.508858	 -0.284995	 +0.555514
-19.901806	-19.280313	 -1.740339	 -0.451367	 -1.245824	 -0.580806	 -1.104273	 -0.415959	 -1.027197	 -0.332828	 -0.668415	 +0.129820	 -0.593150	 +0.204610	 -0.326860	 +0.508627	 -0.274995	 +0.555317
-19.891806	-19.294981	 -1.730339	 -0.508557	 -1.235824	 -0.583415	 -1.094273	 -0.418706	 -1.017197	 -0.335577	 -0.658415	 +0.129614	 -0.583150	 +0.204382	 -0.316860	 +0.508397	 -0.264995	 +0.555121
