#omega_30	E_QP(omega)_30#	omega_31	E_QP(omega)_31#	omega_32	E_QP(omega)_32#	omega_33	E_QP(omega)_33#	omega_34	E_QP(omega)_34#	omega_35	E_QP(omega)_35#	omega_36	E_QP(omega)_36#	omega_37	E_QP(omega)_37#	omega_38	E_QP(omega)_38#	omega_39	E_QP(omega)_39#	omega_40	E_QP(omega)_40
-0.724978	-0.320386	-0.682588	-0.236653	-0.641136	-0.533156	-0.612987	-0.257527	-0.422688	+0.097941	-0.394028	+0.108123	-0.361949	+0.132865	-0.323327	+0.136588	-0.310258	+0.147666	-0.307832	+0.146529	-0.284036	+0.214300
-0.714978	-0.350539	-0.672588	-0.202613	-0.631136	+0.688106	-0.602987	-0.301019	-0.412688	+0.092059	-0.384028	+0.105752	-0.351949	+0.131364	-0.313327	+0.136166	-0.300258	+0.147271	-0.297832	+0.146151	-0.274036	+0.213076
-0.704978	-0.371913	-0.662588	-0.355324	-0.621136	-0.035563	-0.592987	-0.495779	-0.402688	+0.087658	-0.374028	+0.103540	-0.341949	+0.129910	-0.303327	+0.135742	-0.290258	+0.146874	-0.287832	+0.145772	-0.264036	+0.211856
-0.694978	-0.408305	-0.652588	-0.232201	-0.611136	-0.146977	-0.582987	+0.068235	-0.392688	+0.084066	-0.364028	+0.101460	-0.331949	+0.128497	-0.293327	+0.135316	-0.280258	+0.146474	-0.277832	+0.145390	-0.254036	+0.210638
-0.684978	-0.514966	-0.642588	-0.296251	-0.601136	-0.191260	-0.572987	-0.158209	-0.382688	+0.080978	-0.354028	+0.099489	-0.321949	+0.127119	-0.283327	+0.134887	-0.270258	+0.146071	-0.267832	+0.145006	-0.244036	+0.209423
-0.674978	-0.487265	-0.632588	-0.151992	-0.591136	-0.215429	-0.562987	-0.145266	-0.372688	+0.078236	-0.344028	+0.097610	-0.311949	+0.125772	-0.273327	+0.134456	-0.260258	+0.145665	-0.257832	+0.144619	-0.234036	+0.208207
-0.664978	+0.333153	-0.622588	-0.260686	-0.581136	-0.234091	-0.552987	-0.186422	-0.362688	+0.075744	-0.334028	+0.095811	-0.301949	+0.124452	-0.263327	+0.134023	-0.250258	+0.145256	-0.247832	+0.144228	-0.224036	+0.206991
-0.654978	-0.242858	-0.612588	-0.287355	-0.571136	-0.282198	-0.542987	-0.211573	-0.352688	+0.073443	-0.324028	+0.094080	-0.291949	+0.123154	-0.253327	+0.133586	-0.240258	+0.144843	-0.237832	+0.143835	-0.214036	+0.205772
-0.644978	-0.290460	-0.602588	-0.291876	-0.561136	-0.229806	-0.532987	-0.212349	-0.342688	+0.071291	-0.314028	+0.092408	-0.281949	+0.121877	-0.243327	+0.133146	-0.230258	+0.144426	-0.227832	+0.143439	-0.204036	+0.204549
-0.634978	-0.319646	-0.592588	-0.308297	-0.551136	-0.241233	-0.522987	-0.221165	-0.332688	+0.069260	-0.304028	+0.090787	-0.271949	+0.120617	-0.233327	+0.132702	-0.220258	+0.144006	-0.217832	+0.143038	-0.194036	+0.203321
