#omega_15	E_QP(omega)_15#	omega_16	E_QP(omega)_16#	omega_17	E_QP(omega)_17#	omega_18	E_QP(omega)_18#	omega_19	E_QP(omega)_19#	omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21#	omega_22	E_QP(omega)_22#	omega_23	E_QP(omega)_23#	omega_24	E_QP(omega)_24#	omega_25	E_QP(omega)_25
-0.795467	-0.458045	-0.744634	-0.447600	-0.716139	-0.339388	-0.716139	-0.339387	-0.627286	-0.248790	-0.627285	-0.248790	-0.367847	+0.114865	-0.367846	+0.114866	-0.302885	+0.138418	-0.270016	+0.164517	-0.270016	+0.164518
-0.785467	-0.468647	-0.734634	-0.459007	-0.706139	-0.359648	-0.706139	-0.359642	-0.617286	-0.255978	-0.617285	-0.255977	-0.357847	+0.113205	-0.357846	+0.113205	-0.292885	+0.138040	-0.260016	+0.164196	-0.260016	+0.164196
-0.775467	-0.477894	-0.724634	-0.469297	-0.696139	-0.351615	-0.696139	-0.351613	-0.607286	-0.262069	-0.607285	-0.262068	-0.347847	+0.111604	-0.347846	+0.111604	-0.282885	+0.137661	-0.250016	+0.163871	-0.250016	+0.163872
-0.765467	-0.487023	-0.714634	-0.478742	-0.686139	-0.362606	-0.686139	-0.362605	-0.597286	-0.267381	-0.597285	-0.267380	-0.337847	+0.110055	-0.337846	+0.110055	-0.272885	+0.137280	-0.240016	+0.163545	-0.240016	+0.163545
-0.755467	-0.496400	-0.704634	-0.487678	-0.676139	-0.369593	-0.676139	-0.369593	-0.587286	-0.272106	-0.587285	-0.272105	-0.327847	+0.108553	-0.327846	+0.108553	-0.262885	+0.136896	-0.230016	+0.163215	-0.230016	+0.163216
-0.745467	-0.507760	-0.694634	-0.499609	-0.666139	-0.375424	-0.666139	-0.375424	-0.577286	-0.276369	-0.577285	-0.276368	-0.317847	+0.107092	-0.317846	+0.107093	-0.252885	+0.136510	-0.220016	+0.162883	-0.220016	+0.162883
-0.735467	-0.522160	-0.684634	-0.513099	-0.656139	-0.380830	-0.656139	-0.380830	-0.567286	-0.280260	-0.567285	-0.280259	-0.307847	+0.105669	-0.307846	+0.105669	-0.242885	+0.136122	-0.210016	+0.162548	-0.210016	+0.162548
-0.725467	-0.543552	-0.674634	-0.529424	-0.646139	-0.384634	-0.646139	-0.384634	-0.557286	-0.283843	-0.557285	-0.283842	-0.297847	+0.104278	-0.297846	+0.104279	-0.232885	+0.135730	-0.200016	+0.162209	-0.200016	+0.162209
-0.715467	-0.584330	-0.664634	-0.550341	-0.636139	-0.388831	-0.636139	-0.388831	-0.547286	-0.287168	-0.547285	-0.287167	-0.287847	+0.102918	-0.287846	+0.102918	-0.222885	+0.135336	-0.190016	+0.161867	-0.190016	+0.161868
-0.705467	-0.717310	-0.654634	-0.579032	-0.626139	-0.392615	-0.626139	-0.392614	-0.537286	-0.290274	-0.537285	-0.290273	-0.277847	+0.101584	-0.277846	+0.101585	-0.212885	+0.134939	-0.180016	+0.161522	-0.180016	+0.161522
-0.695467	+0.156845	-0.644634	-0.622180	-0.616139	-0.396106	-0.616139	-0.396106	-0.527286	-0.293192	-0.527285	-0.293190	-0.267847	+0.100274	-0.267846	+0.100275	-0.202885	+0.134538	-0.170016	+0.161172	-0.170016	+0.161173
-0.685467	-0.351377	-0.634634	-0.696779	-0.606139	-0.399361	-0.606139	-0.399361	-0.517286	-0.295946	-0.517285	-0.295945	-0.257847	+0.098986	-0.257846	+0.098986	-0.192885	+0.134134	-0.160016	+0.160819	-0.160016	+0.160819
